Country,tipo,nome,n
Netherlands,instituicoes,Centrum Wiskunde & Informatica,416
Netherlands,topicos,Natural Language Processing Techniques,363
Netherlands,topicos,"Logic, Reasoning, and Knowledge",293
Netherlands,topicos,"Logic, programming, and type systems",261
Netherlands,topicos,Semantic Web and Ontologies,238
Netherlands,topicos,Quantum Computing Algorithms and Architecture,216
Netherlands,topicos,Quantum Information and Cryptography,214
Netherlands,topicos,AI in cancer detection,184
Netherlands,topicos,Bayesian Modeling and Causal Inference,179
Netherlands,topicos,"Syntax, Semantics, Linguistic Variation",156
Netherlands,topicos,Multi-Agent Systems and Negotiation,155
Netherlands,topicos,Phonetics and Phonology Research,129
Netherlands,topicos,Speech and dialogue systems,121
Netherlands,topicos,Topic Modeling,120
Netherlands,topicos,Geochemistry and Geologic Mapping,115
Netherlands,topicos,Cognitive Science and Mapping,115
Peru,instituicoes,Pontificia Universidad Católica del Perú,107
Peru,instituicoes,National University of San Marcos,88
Peru,instituicoes,Universidad San Pedro,30
Peru,instituicoes,Universidad Nacional de San Agustin de Arequipa,29
Peru,instituicoes,National University of Engineering,29
Peru,instituicoes,Universidad de Lima,28
Peru,instituicoes,Centre National de la Recherche Scientifique,22
Peru,instituicoes,Universidad Católica San Pablo,19
Peru,instituicoes,Universidad Peruana Cayetano Heredia,15
Peru,instituicoes,Gouvernement de la République française,15
Peru,instituicoes,Ministère de l'Europe et des Affaires étrangères,15
Peru,instituicoes,Instituto Geológico Minero y Metalúrgico,15
Peru,instituicoes,"Ministère de l'Enseignement Supérieur, de la Recherche et de l'Espace",15
Peru,instituicoes,Institut National des Sciences de l'Univers,15
Peru,instituicoes,Institut de Recherche pour le Développement,15
Peru,topicos,Spanish Linguistics and Language Studies,36
Peru,topicos,Solar Radiation and Photovoltaics,24
Peru,topicos,Geological and Geochemical Analysis,20
Peru,topicos,Geochemistry and Geologic Mapping,18
Peru,topicos,Semantic Web and Ontologies,15
Peru,topicos,Neural Networks and Applications,13
Peru,topicos,Quantum Information and Cryptography,11
Peru,topicos,Quantum Mechanics and Applications,11
Peru,topicos,Linguistic Studies and Language Acquisition,11
Peru,topicos,Seismology and Earthquake Studies,9
Peru,topicos,Natural Language Processing Techniques,8
Peru,topicos,Photovoltaic System Optimization Techniques,8
Peru,topicos,Soil Geostatistics and Mapping,7
Peru,topicos,AI in cancer detection,7
Peru,topicos,Evolutionary Algorithms and Applications,6
Slovenia,instituicoes,University of Ljubljana,833
Slovenia,instituicoes,Jožef Stefan Institute,376
Slovenia,instituicoes,University of Maribor,326
Slovenia,instituicoes,University of Primorska,216
Slovenia,instituicoes,Jožef Stefan International Postgraduate School,132
Slovenia,instituicoes,Faculty of Media,99
Slovenia,instituicoes,Faculty of Design,53
Slovenia,instituicoes,Geological Survey of Slovenia,52
Slovenia,instituicoes,University of Nova Gorica,49
Slovenia,instituicoes,"Institute of Mathematics, Physics, and Mechanics",49
Slovenia,instituicoes,Institute of Information Science,48
Slovenia,instituicoes,Institute of Criminology,46
Slovenia,instituicoes,Centre National de la Recherche Scientifique,44
Slovenia,instituicoes,Research Centre of the Slovenian Academy of Sciences and Arts,36
Slovenia,instituicoes,Chinese Academy of Sciences,30
Slovenia,topicos,Natural Language Processing Techniques,114
Slovenia,topicos,Finite Group Theory Research,96
Slovenia,topicos,Coding theory and cryptography,68
Slovenia,topicos,Metaheuristic Optimization Algorithms Research,40
Slovenia,topicos,Lexicography and Language Studies,39
Slovenia,topicos,Quantum many-body systems,37
Slovenia,topicos,Heavy metals in environment,36
Slovenia,topicos,Educational Robotics and Engineering,35
Slovenia,topicos,Semantic Web and Ontologies,32
Slovenia,topicos,Evolutionary Algorithms and Applications,30
Slovenia,topicos,Topic Modeling,29
Slovenia,topicos,Linguistic Studies and Language Acquisition,28
Slovenia,topicos,Fuzzy Logic and Control Systems,27
Slovenia,topicos,Biomedical Text Mining and Ontologies,26
Slovenia,topicos,Solar Radiation and Photovoltaics,23
Ukraine,instituicoes,National Academy of Sciences of Ukraine,911
Ukraine,instituicoes,Taras Shevchenko National University of Kyiv,405
Ukraine,instituicoes,National Technical University of Ukraine “Igor Sikorsky Kyiv Polytechnic Institute”,308
Ukraine,instituicoes,Lviv Polytechnic National University,260
Ukraine,instituicoes,V. N. Karazin Kharkiv National University,215
Ukraine,instituicoes,Kharkiv National University of Radio Electronics,157
Ukraine,instituicoes,"National University ""Kyiv Aviation Institute""",144
Ukraine,instituicoes,V.M. Glushkov Institute of Cybernetics,131
Ukraine,instituicoes,"National Technical University ""Kharkiv Polytechnic Institute""",114
Ukraine,instituicoes,Odesа Polytechnic National University,96
Ukraine,instituicoes,Institute of Software Systems,94
Ukraine,instituicoes,Russian Academy of Sciences,85
Ukraine,instituicoes,Lviv University,84
Ukraine,instituicoes,Institute of Geological Sciences,75
Ukraine,instituicoes,National University Zaporizhzhia Polytechnic,62
Ukraine,topicos,Statistical and Computational Modeling,231
Ukraine,topicos,Mathematical Control Systems and Analysis,187
Ukraine,topicos,Advanced Data Processing Techniques,131
Ukraine,topicos,Neural Networks and Applications,117
Ukraine,topicos,Cybersecurity and Information Systems,112
Ukraine,topicos,Coding theory and cryptography,106
Ukraine,topicos,Semantic Web and Ontologies,84
Ukraine,topicos,Geochemistry and Geologic Mapping,84
Ukraine,topicos,Advanced Scientific Research Methods,72
Ukraine,topicos,Quantum Information and Cryptography,69
Ukraine,topicos,Natural Language Processing Techniques,69
Ukraine,topicos,Geological and Geochemical Analysis,63
Ukraine,topicos,Solar and Space Plasma Dynamics,62
Ukraine,topicos,Cognitive Science and Mapping,58
Ukraine,topicos,Mining and Gasification Technologies,54
