Country,Year,manuf_pib,ind_pib,manuf_exp,hitech_exp_wdi,pesq_pm,rd_pct_wdi,deflator,artigos_se_nsf
China,2021,26.621932558827,38.0924722040717,93.4459167956813,30.2190732796596,1685.97511,2.38165,104.473573585036,756203.38
Colombia,2013,12.6623563037307,32.7475552904174,16.9247192807713,7.76843663280142,58.0547,0.25761,95.4747646532672,4325.67
Colombia,2014,12.2693186420816,30.9858527230854,17.1448362035228,8.11983496308117,59.05478,0.30317,97.6092294031774,4795.16
Colombia,2015,12.4008937581087,28.5894478881361,23.4344948887716,9.8493456203733,70.66931,0.36542,100,5115.5
Colombia,2016,12.297778837716,27.689162311787,24.2533190686524,10.1857957756345,91.2603,0.27051,105.148334305146,5994.92
Colombia,2017,11.4095935667718,26.8148589146209,20.4602009068447,8.96236276389192,90.24729,0.26109,110.546372091236,6280.16
Colombia,2018,11.1518529729467,26.8954667535946,19.9796379042526,7.22139251354653,,0.31233,115.665309926839,6922.39
Colombia,2019,10.926657535177,25.993426836769,21.0779965271648,9.04845616228861,,0.32201,120.294953383022,7968.21
Colombia,2020,10.7275023510948,23.439238595813,22.400350678851,9.91355157220335,,0.2894,122.077393324367,8888.34
Colombia,2021,11.1991608490115,24.5553120236384,21.6338312040039,8.20914960906244,,,131.602009615523,9491.15
Croatia,2013,12.6092938617904,20.5073010518841,62.8057862462361,12.493497088882,1535.62032,0.79163,92.0214829790276,4111.71
Croatia,2014,12.7329054114291,20.6516894000178,63.3557007445093,10.4390521916801,1445.04267,0.76744,92.140876886744,3975.01
Croatia,2015,12.7376756733238,20.3715789931689,66.593111570583,10.7066240086763,1513.83841,0.82388,92.2548921224285,4033.56
Croatia,2016,12.8768448051129,20.2770886767859,67.9789133522014,14.4016994474882,1871.39921,0.84569,92.2680012414649,4023.84
Croatia,2017,12.7603957210649,19.7719778010134,67.2325782201511,8.73810136016396,1900.86092,0.84354,93.4021973894262,4316.99
Croatia,2018,12.2986766761783,19.2887373843767,66.5327393870269,8.83753101502131,1973.01528,0.94608,95.2951911670773,4590.14
Croatia,2019,11.9932247841766,19.5752741048337,67.3406993625424,8.28927083536396,2203.55061,1.07723,97.187361713426,4603.53
Croatia,2020,12.1571023175154,20.096957275737,65.9112273741857,9.68004103299381,2295.44402,1.23536,97.96138996139,4919.63
Croatia,2021,11.6586394254666,19.5841831924995,63.4599498278358,9.60673351412275,2414.42218,1.24187,100,5529.57
France,2013,10.2533499274342,17.5699939241217,76.9620880246645,27.1817177565412,4133.56261,2.23369,92.2710614868023,71475.21
France,2014,10.1814983481472,17.3416195349368,77.550562918085,27.4702736686884,4210.03605,2.27173,92.7977401424006,71223.41
France,2015,10.3199116417468,17.236441547058,78.7323283725094,28.2116908505326,4310.70957,2.22401,93.8504749093193,70877.24
France,2016,10.1652320223789,16.9433572396904,79.6980182102876,27.9331801598168,4392.04699,2.22468,94.335924216755,70242.04
France,2017,10.0100515756887,16.7483032647876,79.9472167846139,26.0180218998669,4546.76212,2.20422,94.8890564538999,69138.49
France,2018,9.88620521645328,16.725283255726,79.7942114817241,25.9347849255776,4670.53241,2.20407,95.9466835322152,67117.57
