modelo,DMU,original,rDEA_theta_bc,boot_bc,ic_inf,ic_sup,vies_phi
S,Japan-2018,0.3159,0.1721,0.2427,0.2146,0.2712,-0.955
S,Japan-2019,0.3359,0.2047,0.2637,0.2363,0.2887,-0.8148
S,Japan-2020,0.3417,0.211,0.2689,0.2437,0.2921,-0.7931
S,Japan-2021,0.4009,0.2351,0.3124,0.278,0.3447,-0.7067
S,Luxembourg-2016,0.1793,0.0941,0.137,0.1187,0.154,-1.7185
S,Luxembourg-2017,0.1832,0.1095,0.1431,0.1298,0.1581,-1.5319
S,Luxembourg-2018,0.1771,0.10780000000000001,0.1389,0.1264,0.1532,-1.5536
S,Luxembourg-2019,0.1959,0.1142,0.1521,0.1388,0.1688,-1.4723
S,Luxembourg-2020,0.26,0.1699,0.2076,0.1888,0.2253,-0.9707
S,Luxembourg-2021,0.3038,0.2024,0.2438,0.2236,0.2632,-0.8106
S,Malaysia-2014,1,-0.0578,0.6738,0.5938,0.8395,-0.4842
S,Malaysia-2015,0.9527,0.6399,0.766,0.706,0.8225,-0.2558
S,Malaysia-2016,0.8453,0.4934,0.6571,0.5945,0.7273,-0.3388
S,Malaysia-2018,0.7621,0.5427,0.6237,0.5879,0.657,-0.2912
S,Malaysia-2020,0.9542,0.6765,0.7797,0.7348,0.8222,-0.2345
S,Mexico-2013,0.4384,0.1944,0.3256,0.2916,0.3747,-0.7896
S,Mexico-2014,0.4402,0.2553,0.3417,0.3079,0.3795,-0.6544
S,Mexico-2015,0.412,0.2743,0.3303,0.3066,0.3539,-0.6008
S,Mexico-2016,0.4335,0.2923,0.3488,0.3245,0.3738,-0.56
S,Mexico-2017,0.3969,0.2811,0.3242,0.3054,0.3402,-0.5653
S,Mexico-2018,0.6062,0.4146,0.49,0.4532,0.5241,-0.3909
S,Mexico-2019,0.43,0.282,0.343,0.321,0.3691,-0.5899
S,Mexico-2020,0.646,0.4667,0.5314,0.4997,0.5585,-0.3339
S,Mexico-2021,0.5483,0.3654,0.4396,0.4098,0.4698,-0.4511
S,Netherlands-2013,0.4802,0.2794,0.3728,0.3383,0.4098,-0.6003
