modelo,DMU,original,rDEA_theta_bc,boot_bc,ic_inf,ic_sup,vies_phi
S,Netherlands-2014,0.3979,0.2562,0.3161,0.2895,0.3409,-0.6503
S,Netherlands-2015,0.1779,0.1051,0.1385,0.1265,0.1527,-1.6004
S,Netherlands-2016,0.1521,0.0827,0.1165,0.1039,0.128,-2.0072
S,Netherlands-2017,0.1625,0.0961,0.1267,0.1125,0.1395,-1.7385
S,Norway-2013,0.2021,0.1249,0.159,0.1448,0.174,-1.3397
S,Norway-2014,0.1364,0.0952,0.1109,0.1039,0.1171,-1.6871
S,Norway-2016,0.202,0.137,0.1628,0.152,0.1732,-1.1924
S,Norway-2017,0.1351,0.0943,0.1099,0.1021,0.1166,-1.6959
S,Norway-2018,0.2022,0.1357,0.1624,0.1515,0.1735,-1.2117
S,Norway-2019,0.1641,0.1092,0.1315,0.1214,0.1406,-1.5081
S,Peru-2018,1,-1.321,0.6231,0.5312,0.8305,-0.605
S,Peru-2019,0.5153,0.0711,0.3588,0.3154,0.4356,-0.8459
S,Peru-2020,0.7311,0.1375,0.5165,0.4449,0.624,-0.5682
S,Peru-2021,1,-0.3048,0.654,0.5782,0.8295,-0.529
S,Philippines-2018,0.2975,0.1732,0.2306,0.2141,0.2531,-0.9757
S,Poland-2013,0.6928,0.4051,0.5385,0.4889,0.5965,-0.4136
S,Poland-2014,0.6646,0.457,0.5381,0.4994,0.5776,-0.3538
S,Poland-2015,0.6038,0.4375,0.4972,0.4693,0.5204,-0.3551
S,Poland-2016,0.7409,0.5109,0.6,0.5617,0.6348,-0.317
S,Poland-2017,0.5985,0.432,0.4922,0.4641,0.5156,-0.3608
S,Poland-2018,0.629,0.4094,0.5008,0.469,0.5379,-0.4069
S,Poland-2019,0.4397,0.3101,0.3588,0.334,0.38,-0.5123
S,Poland-2020,0.405,0.2753,0.3267,0.3037,0.3489,-0.5919
S,Poland-2021,0.5005,0.3482,0.4067,0.3774,0.4325,-0.4609
S,Portugal-2014,0.6108,0.4258,0.4965,0.4655,0.5265,-0.3771
S,Portugal-2015,0.6602,0.464,0.538,0.5047,0.5675,-0.344
S,Portugal-2016,0.6002,0.4195,0.4883,0.4597,0.5177,-0.3819
S,Portugal-2017,0.4434,0.3048,0.3588,0.3346,0.3817,-0.5316
S,Portugal-2018,0.4603,0.3105,0.3704,0.346,0.3957,-0.5277
S,Romania-2016,0.9439,0.5497,0.7327,0.6682,0.8051,-0.3054
S,Romania-2017,0.8821,0.392,0.6581,0.5719,0.7582,-0.3859
S,Romania-2018,1,0.4148,0.7394,0.6448,0.8526,-0.3524
S,Romania-2019,0.9174,0.4684,0.694,0.6385,0.7809,-0.3509
S,Romania-2020,1,0.4764,0.7479,0.6899,0.8383,-0.3371
S,Romania-2021,0.9846,0.6057,0.7733,0.7139,0.844,-0.2775
S,Singapore-2013,0.43,0.2894,0.3456,0.3251,0.3686,-0.5678
S,Singapore-2014,0.3477,0.2386,0.2812,0.2637,0.299,-0.6805
S,Singapore-2015,0.2695,0.1675,0.2121,0.1953,0.2309,-1.0036
S,Singapore-2016,0.3403,0.232,0.2747,0.2547,0.2928,-0.7016
S,Singapore-2017,0.3302,0.2008,0.2584,0.2393,0.2809,-0.8413
S,Singapore-2018,0.3794,0.247,0.3023,0.2769,0.3256,-0.6718
S,Singapore-2019,0.4086,0.2552,0.3222,0.2936,0.3511,-0.6565
S,Slovenia-2018,0.3129,0.1503,0.236,0.2051,0.2707,-1.0411
S,South Africa-2014,0.2094,0.0552,0.1495,0.1301,0.1756,-1.9131
S,South Africa-2016,0.15,0.1025,0.1211,0.1138,0.1288,-1.5899
S,South Africa-2017,0.1496,0.101,0.1204,0.113,0.1286,-1.6233
S,South Africa-2018,0.1933,0.1296,0.1552,0.1459,0.1665,-1.2695
S,South Africa-2019,0.2462,0.1689,0.1991,0.1865,0.2102,-0.9612
S,South Africa-2020,0.3764,0.2516,0.302,0.2824,0.3219,-0.6551
S,Spain-2013,0.5266,0.3009,0.4067,0.3765,0.4525,-0.5596
S,Spain-2014,0.5071,0.3006,0.3948,0.3645,0.4342,-0.5609
S,Spain-2015,0.6993,0.4306,0.5494,0.508,0.6003,-0.3904
S,Spain-2016,0.4251,0.2718,0.3371,0.3081,0.3642,-0.6142
S,Spain-2017,0.4768,0.3077,0.3791,0.3472,0.4114,-0.5407
S,Spain-2018,0.5159,0.3348,0.4107,0.3796,0.4403,-0.4964
S,Spain-2019,0.4461,0.2634,0.3473,0.3173,0.3837,-0.6381
S,Spain-2020,0.4951,0.2927,0.3855,0.3522,0.4258,-0.5741
S,Spain-2021,0.4484,0.2653,0.3497,0.3101,0.3845,-0.6292
S,Switzerland-2015,0.0983,0.0482,0.074,0.0664,0.0837,-3.343
S,Ukraine-2013,0.202,0.1053,0.1543,0.1333,0.1738,-1.5319
S,Ukraine-2014,0.2453,0.1275,0.1869,0.1633,0.2112,-1.2734
S,Ukraine-2015,0.4262,0.2071,0.3212,0.2814,0.3614,-0.767
S,Ukraine-2016,0.726,0.2729,0.5314,0.4665,0.6165,-0.5044
S,Ukraine-2017,1,0.3271,0.7234,0.6361,0.8533,-0.3824
S,Ukraine-2018,1,0.4533,0.7445,0.6714,0.8528,-0.3431
S,United Kingdom-2013,0.4583,0.2529,0.3516,0.3203,0.3876,-0.662
S,United Kingdom-2014,0.3175,0.1929,0.2486,0.2281,0.2714,-0.873
S,United Kingdom-2021,0.5511,0.2627,0.412,0.3817,0.4695,-0.6123
S,United States-2013,0.3297,0.151,0.2465,0.2172,0.2821,-1.0237
S,United States-2014,0.2773,0.1211,0.2062,0.1793,0.2354,-1.2443
S,United States-2015,0.2651,0.1057,0.1954,0.1692,0.2277,-1.3463
S,United States-2016,0.2756,0.1099,0.2034,0.1756,0.2354,-1.2887
S,United States-2017,0.3168,0.1318,0.2349,0.2021,0.2744,-1.0997
S,United States-2018,0.3954,0.1948,0.2996,0.2575,0.3435,-0.8085
S,United States-2019,0.4995,0.2715,0.3851,0.3271,0.4359,-0.5942
S,United States-2020,0.5875,0.3134,0.4514,0.3842,0.5119,-0.5131
S,United States-2021,0.6386,0.3568,0.4955,0.4192,0.5583,-0.4521
T,Argentina-2013,0.0257,-0.0308,0.0174,0.0152,0.0216,-18.4387
T,Argentina-2016,0.0267,-3e-4,0.0182,0.0158,0.0226,-17.5578
T,Argentina-2017,0.0135,0.0049,0.0098,0.0087,0.0113,-27.6406
T,Argentina-2018,0.1956,-0.0034,0.133,0.116,0.1616,-2.4065
T,Argentina-2019,0.1515,0.0418,0.1081,0.0955,0.1262,-2.6455
T,Argentina-2020,0.0523,0.0276,0.0402,0.0342,0.0465,-5.7544
T,Argentina-2021,0.0448,0.0246,0.0346,0.0298,0.0398,-6.5661
T,Australia-2013,1,-1.6586,0.5877,0.5457,0.6876,-0.7017
T,Australia-2015,0.167,0.0698,0.1242,0.1058,0.1445,-2.0608
T,Australia-2017,0.6329,0.1877,0.4539,0.3934,0.529,-0.6231
T,Australia-2019,0.3172,0.1075,0.2326,0.1958,0.2828,-1.1474
T,Austria-2013,0.052,0.001,0.0353,0.0312,0.0418,-9.054
T,Austria-2014,0.0173,0.002,0.012,0.0106,0.0147,-25.7321
T,Austria-2015,0.0473,-0.0069,0.0314,0.028,0.0378,-10.7343
T,Austria-2016,0.0989,0.0077,0.0679,0.0601,0.0824,-4.6136
T,Austria-2017,0.06,0.0175,0.0429,0.0376,0.0503,-6.6267
T,Austria-2018,0.0264,0.0136,0.0202,0.0172,0.0234,-11.5737
