modelo,Country_Year,Country,Year,zero_inv,esc_contemp,esc_seq,esc_uniao,esc_global,tgr,tgr_uniao,convexificacao
C,Austria-2013,Austria,2013,FALSE,0.0715,0.0715,0.0715,0.0596,0.8341,1,1.1989
C,Austria-2014,Austria,2014,FALSE,0.0346,0.0288,0.0314,0.0226,0.6553,0.9077,1.3853
C,Austria-2015,Austria,2015,FALSE,0.1478,0.0524,0.0613,0.0524,0.3544,0.4148,1.1705
C,Austria-2016,Austria,2016,FALSE,0.295,0.1201,0.1384,0.1132,0.3838,0.469,1.222
C,Austria-2017,Austria,2017,FALSE,0.126,0.0979,0.1038,0.0732,0.5811,0.8237,1.4173
C,Austria-2018,Austria,2018,FALSE,0.0489,0.0468,0.0325,0.0284,0.5814,0.6652,1.1442
C,Austria-2019,Austria,2019,FALSE,0.0108,0.0099,0.0093,0.0086,0.7962,0.8601,1.0803
C,Austria-2020,Austria,2020,FALSE,0.0165,0.0157,0.0165,0.0157,0.9488,1,1.054
C,Austria-2021,Austria,2021,FALSE,0.0141,0.0085,0.0087,0.0085,0.6016,0.615,1.0224
C,Belgium-2013,Belgium,2013,FALSE,0.014,0.014,0.0122,0.0095,0.6761,0.8678,1.2835
C,Belgium-2016,Belgium,2016,FALSE,0.0144,0.012,0.004,0.0037,0.2557,0.2775,1.0856
C,Belgium-2017,Belgium,2017,FALSE,0.0049,0.0047,0.0023,0.002,0.4111,0.4717,1.1472
C,Belgium-2018,Belgium,2018,FALSE,0.0357,0.0343,0.0266,0.0221,0.6184,0.7453,1.2052
C,Brazil-2013,Brazil,2013,FALSE,0.6046,0.6046,0.6046,0.5571,0.9214,1,1.0853
C,Brazil-2014,Brazil,2014,FALSE,0.3084,0.2293,0.2298,0.1497,0.4853,0.745,1.5352
C,Brazil-2015,Brazil,2015,FALSE,0.2201,0.2061,0.0608,0.057,0.2593,0.2765,1.0663
C,Brazil-2016,Brazil,2016,FALSE,1,0.5019,0.5542,0.4351,0.4351,0.5542,1.2738
C,Brazil-2017,Brazil,2017,FALSE,0.1903,0.1796,0.0997,0.0917,0.4817,0.5242,1.0881
C,Brazil-2018,Brazil,2018,FALSE,0.2031,0.2008,0.1096,0.1039,0.5118,0.5395,1.0542
C,Brazil-2019,Brazil,2019,FALSE,0.0646,0.0636,0.0549,0.0541,0.8374,0.8502,1.0153
C,Brazil-2020,Brazil,2020,FALSE,0.0441,0.0427,0.0441,0.0427,0.9682,1,1.0328
C,Bulgaria-2018,Bulgaria,2018,FALSE,0.2341,0.2341,0.2341,0.112,0.4782,1,2.0912
C,Bulgaria-2019,Bulgaria,2019,FALSE,0.3467,0.1492,0.256,0.1327,0.3828,0.7385,1.9293
C,Bulgaria-2021,Bulgaria,2021,FALSE,1,0.061,0.113,0.061,0.061,0.113,1.852
