Country_Year,Country,Year,income,regiao,zero_inv,pop_mi,manuf_pib,manuf_exp,fdh_S,ccr_S,bcc_S,fdh_T,ccr_T,bcc_T,fdh_ST,ccr_ST,bcc_ST,fdh_C,ccr_C,bcc_C,se_S,se_T,se_ST,bcc_S_int,bcc_T_int,bcc_C_int,bcc_S_semzeros,bcc_T_semzeros,bcc_C_semzeros,classe,topsis,sw_S,sw_T,sw_C
Romania-2016,Romania,2016,Alta,Europe and Central Asia,FALSE,19.7023,20.1243,79.5216,1,0.9073,0.9439,0.0953,0.0589,0.0668,1,0.9073,0.9439,0.0953,0.0589,0.0668,0.9612,0.8818,0.9612,0.7962,0.0918,0.0918,1,0.2609,0.2609,2,0.4874,0.7765,0.0518,0.0504
Romania-2017,Romania,2017,Alta,Europe and Central Asia,TRUE,19.5887,19.8308,80.4775,1,0.8804,0.8821,0.2379,0.237,0.2379,1,0.8995,0.901,0.2379,0.237,0.2379,NA,NA,NA,0.8426,0.37,0.37,NA,NA,NA,2,0.4873,0.6594,0.1887,0.1792
Romania-2018,Romania,2018,Alta,Europe and Central Asia,TRUE,19.4739,19.0699,82.2471,1,1,1,0.2376,0.2366,0.2376,1,1,1,0.2376,0.2366,0.2376,NA,NA,NA,1,0.3781,0.3781,NA,NA,NA,2,0.4875,0.7392,0.1899,0.1805
Romania-2019,Romania,2019,Alta,Europe and Central Asia,FALSE,19.3717,17.2426,81.7211,0.9313,0.8648,0.9174,0.285,0.0999,0.1074,0.9313,0.8715,0.9174,0.285,0.0999,0.1074,0.9427,0.9303,0.9499,0.7635,0.1323,0.1323,0.9184,0.1601,0.1601,2,0.4876,0.745,0.0861,0.0846
Romania-2020,Romania,2020,Alta,Europe and Central Asia,FALSE,19.2652,15.9165,82.3576,1,0.9864,1,0.4275,0.1561,0.1648,1,1,1,0.4275,0.1561,0.1648,0.9864,0.9473,1,0.8439,0.2035,0.2035,1,0.2512,0.2512,2,0.4877,0.8015,0.1309,0.1286
Romania-2021,Romania,2021,Alta,Europe and Central Asia,FALSE,19.122,15.7104,79.0513,1,0.9553,0.9846,0.57,0.0579,0.0707,1,0.9779,0.9912,0.57,0.0579,0.0707,0.9703,0.8182,0.9866,0.6846,0.0684,0.0684,0.9846,0.0725,0.0725,2,0.4877,0.8367,0.0545,0.0528
Singapore-2013,Singapore,2013,Alta,East Asia and Pacific,FALSE,5.3992000000000004,17.6384,67.8319,0.6669,0.185,0.43,0.2864,0.082,0.1093,1,0.2055,0.4536,0.2864,0.082,0.1103,0.4302,0.7497,0.4531,0.8645,0.1339,0.1339,0.4313,0.1093,0.1128,2,0.4874,0.3711,0.0904,0.0911
Singapore-2014,Singapore,2014,Alta,East Asia and Pacific,FALSE,5.4697,17.9998,68.9015,0.6376,0.1944,0.3477,0.3469,0.0456,0.0476,0.9395,0.2121,0.3581,0.3965,0.0456,0.0476,0.5591,0.9571,0.5923,0.8858,0.1278,0.1278,0.3477,0.0482,0.0482,2,0.4875,0.301,0.0383,0.0377
Singapore-2015,Singapore,2015,Alta,East Asia and Pacific,FALSE,5.535,18.0893,74.236,0.6758,0.1917,0.2695,0.2974,0.0225,0.0234,0.8658,0.2062,0.2835,0.3148,0.0225,0.0234,0.7112,0.9628,0.7272,0.8585,0.1028,0.1028,0.2695,0.0234,0.024,2,0.4871,0.2324,0.0176,0.0169
Singapore-2016,Singapore,2016,Alta,East Asia and Pacific,FALSE,5.6073,17.3699,76.4148,0.7315,0.2101,0.3403,0.4883,0.0415,0.0428,1,0.2348,0.3584,0.4883,0.0415,0.0428,0.6173,0.9702,0.655,0.9678,0.1741,0.1741,0.3403,0.0429,0.0429,2,0.4876,0.2924,0.0324,0.0316
