Country_Year,Country,Year,zero_inv,pop_mi,v2_bcc_S,v2_bcc_T,v2_bcc_ST,v2_ccr_S,v2_ccr_T,v2_gap,intensiva_S,intensiva_T,extensiva_S,extensiva_T,conversao_ext,conversao_pc,agrupada_S,agrupada_T,super_crs_T,super_crs_ST
Portugal-2014,Portugal,2014,FALSE,10.401,0.4273,0.0903,0.4273,0.4271,0.0844,-0.337,1,0.0643,0.9286,0.0269,0.0269,0.0643,0.2965,0.0058,0.0844,0.4271
Portugal-2015,Portugal,2015,FALSE,10.358,0.5068,0.307,0.5449,0.506,0.2743,-0.1998,1,0.1564,1,0.113,0.113,0.1564,0.2157,0.0258,0.2743,0.5433
Portugal-2016,Portugal,2016,FALSE,10.325,0.5495,0.2597,0.7145,0.4039,0.2567,-0.2898,0.4732,0.2605,0.7307,0.2344,0.2344,0.2605,0.2473,0.0553,0.2567,0.5226
Portugal-2017,Portugal,2017,FALSE,10.3,0.2989,0.0453,0.2989,0.2715,0.0422,-0.2535,0.4415,0.0546,0.7901,0.046,0.046,0.0549,0.0642,0.0127,0.0422,0.2715
Portugal-2018,Portugal,2018,FALSE,10.284,0.329,0.0606,0.3569,0.2292,0.0569,-0.2684,0.461,0.066,0.6999,0.0433,0.0433,0.0743,0.069,0.0277,0.0569,0.2425
Romania-2016,Romania,2016,FALSE,19.702,1,0.1752,1,0.7331,0.0692,-0.8248,0.7569,0.1196,1,0.203,0.203,0.1196,0.7223,0.0293,0.0692,0.7475
Romania-2017,Romania,2017,TRUE,19.589,1,1,1,1,0.0973,0,1,1,1,1,1,1,0.8395,0.2107,0.0973,1.3853
Romania-2018,Romania,2018,TRUE,19.474,1,0.5445,1,1,0.0405,-0.4555,1,0.5445,1,1,1,0.5445,1,0.2167,0.0405,1.2351
Romania-2019,Romania,2019,FALSE,19.372,1,0.0606,1,1,0.0474,-0.9394,1,0.2228,1,0.2327,0.2327,0.2228,0.5766,0.0514,0.0474,1.6124
Romania-2020,Romania,2020,FALSE,19.265,1,1,1,1,0.6692,0,1,0.3189,1,0.3591,0.3591,0.3189,0.626,0.0798,0.6692,1.8651
Romania-2021,Romania,2021,FALSE,19.122,1,0.0778,1,0.9212,0.064,-0.9222,1,0.0792,1,0.0799,0.0799,0.0792,0.2085,0.0544,0.064,0.946
Singapore-2013,Singapore,2013,FALSE,5.399,0.1798,1,1,0.1758,1,0.8202,1,1,0.4932,0.4473,0.4473,1,0.1781,0.2511,1.6464,1.6464
Singapore-2014,Singapore,2014,FALSE,5.47,0.2755,1,1,0.2291,1,0.7245,1,1,0.6837,0.4194,0.4194,1,0.0701,0.215,2.6329,2.6329
Singapore-2015,Singapore,2015,FALSE,5.535,0.1757,1,1,0.1477,0.9841,0.8243,1,0.6609,0.4095,0.2837,0.2837,0.6609,0.0564,0.1006,0.9841,0.9841
Singapore-2016,Singapore,2016,FALSE,5.607,0.2555,1,1,0.14,1,0.7445,1,0.826,0.3832,0.2573,0.2573,0.826,0.0627,0.2144,1.5085,1.5085
Singapore-2017,Singapore,2017,FALSE,5.612,0.3763,1,1,0.2926,1,0.6237,1,1,0.7426,0.3416,0.3416,1,0.0688,0.338,1.6664,1.6664
Singapore-2018,Singapore,2018,FALSE,5.639,0.2646,1,1,0.198,1,0.7354,1,1,0.5628,0.3541,0.3541,1,0.0761,0.6009,1.5583,1.5634
Singapore-2019,Singapore,2019,FALSE,5.704,0.1153,1,1,0.0745,1,0.8847,1,1,0.4498,0.179,0.179,1,0.0777,0.4484,1.0345,1.0345
Slovenia-2018,Slovenia,2018,TRUE,2.074,0.2818,1,1,0.2818,0.2433,0.7182,1,1,0.3172,0.8522,1,1,0.1595,0.5639,0.2433,0.4902
South Africa-2014,South Africa,2014,TRUE,55.595,0.9492,0.1128,0.9492,0.2237,0.0962,-0.8364,0.6048,0.1128,0.2642,0.1434,0.1434,0.1128,0.2437,0.03,0.0962,0.2379
South Africa-2016,South Africa,2016,FALSE,57.26,0.1156,0.0207,0.1204,0.0796,0.0161,-0.0949,0.0532,0.028,0.1786,0.0414,0.0501,0.0949,0.0355,0.0029,0.0161,0.0927
South Africa-2017,South Africa,2017,FALSE,57.635,0.1743,0.0091,0.1743,0.1597,0.0076,-0.1651,0.0477,0.0138,0.2774,0.0238,0.0312,0.1492,0.0366,0.0024,0.0076,0.1597
South Africa-2018,South Africa,2018,FALSE,58.613,0.1936,0.0078,0.1936,0.1574,0.0072,-0.1857,0.0971,0.0147,0.2824,0.0191,0.0217,0.0219,0.0493,0.0036,0.0072,0.1574
South Africa-2019,South Africa,2019,FALSE,59.588,0.1286,0.0023,0.1286,0.1242,0.002,-0.1263,0.0721,0.0024,0.2653,0.0039,0.0039,0.005,0.0603,5e-4,0.002,0.1242
South Africa-2020,South Africa,2020,FALSE,60.562,0.3278,0.02,0.3278,0.2395,0.0193,-0.3077,0.1761,0.0107,0.4425,0.0182,0.0182,0.0174,0.0957,0.0044,0.0193,0.2395
Spain-2013,Spain,2013,FALSE,46.62,0.2361,0.15,0.2751,0.2259,0.1465,-0.0861,0.6646,0.1959,0.53,0.1469,0.1469,0.2229,0.2331,0.0191,0.1465,0.2702
Spain-2014,Spain,2014,FALSE,46.481,0.7554,0.2045,0.8594,0.7474,0.1742,-0.5509,0.6847,0.4221,1,0.2098,0.2098,0.4221,0.1916,0.0249,0.1742,0.8503
Spain-2015,Spain,2015,FALSE,46.445,1,0.2646,1,1,0.2496,-0.7354,0.7613,0.3489,1,0.2436,0.2436,0.3489,0.3358,0.0351,0.2496,1.301
Spain-2016,Spain,2016,FALSE,46.484,0.5277,0.2254,0.602,0.3798,0.2032,-0.3024,0.3326,0.2875,0.5291,0.1757,0.1757,0.2875,0.1966,0.027,0.2032,0.5205
Spain-2017,Spain,2017,FALSE,46.593,1,0.0973,1,0.9428,0.0916,-0.9027,0.3213,0.153,1,0.0978,0.0978,0.1533,0.2188,0.0277,0.0916,0.9428
Spain-2018,Spain,2018,FALSE,46.798,1,0.06,1,0.7491,0.0599,-0.94,0.5757,0.0988,1,0.0872,0.0872,0.0988,0.227,0.0273,0.0599,0.7491
Spain-2019,Spain,2019,FALSE,47.135,0.7499,0.0566,0.7499,0.6316,0.0564,-0.6933,0.4003,0.0581,0.7543,0.0251,0.0251,0.0591,0.2459,0.0163,0.0564,0.639
Spain-2020,Spain,2020,FALSE,47.366,1,0.0544,1,0.6267,0.0543,-0.9456,0.7836,0.0341,1,0.0196,0.0196,0.0341,0.2442,0.0148,0.0543,0.6267
Spain-2021,Spain,2021,FALSE,47.416,1,0.0095,1,0.817,0.0069,-0.9905,0.6226,0.0166,1,0.011,0.011,0.0166,0.2478,0.0095,0.0069,0.8198
Switzerland-2015,Switzerland,2015,FALSE,8.282,0.0848,0.0589,0.0857,0.0722,0.0417,-0.0259,0.6296,0.0301,0.178,0.0082,0.0141,0.0301,0.0496,0.0061,0.0417,0.0773
Ukraine-2013,Ukraine,2013,TRUE,46.127,1,1,1,0.0783,0.155,0,1,1,1,1,1,1,0.1289,0.1278,0.155,0.1666
Ukraine-2014,Ukraine,2014,TRUE,43.701,1,1,1,0.1215,0.8532,0,1,1,1,1,1,1,0.1342,0.2945,0.8532,0.8635
Ukraine-2015,Ukraine,2015,TRUE,43.462,0.3552,1,1,0.2268,0.5071,0.6448,0.1227,1,0.7505,1,1,1,0.2056,0.1723,0.5071,0.5307
Ukraine-2016,Ukraine,2016,TRUE,43.251,1,1,1,0.2854,0.0615,0,1,1,1,1,1,1,0.3266,0.0771,0.0615,0.308
Ukraine-2017,Ukraine,2017,TRUE,43.041,1,1,1,0.5393,0.0181,0,1,1,1,1,1,1,0.4652,0.0425,0.0181,0.5393
Ukraine-2018,Ukraine,2018,FALSE,42.788,0.5646,0.0412,0.5646,0.5642,0.0148,-0.5235,0.2824,0.1402,1,0.4087,0.4087,0.197,0.4845,0.0268,0.0148,0.5642
United Kingdom-2013,United Kingdom,2013,FALSE,64.128,0.2496,0.3076,0.4725,0.248,0.3048,0.058,0.4983,0.3363,0.5661,0.1753,0.1966,0.4219,0.2417,0.0266,0.3048,0.4692
United Kingdom-2014,United Kingdom,2014,FALSE,64.602,0.336,0.1608,0.3513,0.3205,0.1504,-0.1752,0.4094,0.1898,0.5668,0.0904,0.1247,0.2272,0.1981,0.0182,0.1504,0.3508
United Kingdom-2021,United Kingdom,2021,FALSE,67.026,0.5753,0.1058,0.5753,0.4926,0.0379,-0.4695,0.945,0.1051,0.7536,0.0215,0.0271,0.1051,0.3136,0.1058,0.0379,0.4931
United States-2013,United States,2013,FALSE,316.061,0.7111,1,1,0.5258,1,0.2889,0.2615,1,0.7111,1,1,1,0.345,0.117,1.0259,1.3723
United States-2014,United States,2014,FALSE,318.385,0.6943,1,1,0.5167,0.9843,0.3057,0.2311,1,0.6943,1,1,1,0.2883,0.142,0.9843,1.3258
United States-2015,United States,2015,FALSE,320.826,0.7561,1,1,0.5581,1,0.2439,0.2616,1,0.7561,0.9913,1,1,0.2788,0.2015,1.566,1.7733
United States-2016,United States,2016,FALSE,323.072,0.8029,1,1,0.5555,1,0.1971,0.2382,1,0.8029,0.7692,0.959,1,0.2818,0.3127,1.4875,1.6901
United States-2017,United States,2017,FALSE,325.122,0.7822,1,1,0.5699,0.9789,0.2178,0.2552,1,0.7822,0.6588,0.8433,1,0.3168,0.495,0.9789,1.2556
United States-2018,United States,2018,FALSE,326.839,0.7752,1,1,0.5495,0.667,0.2248,0.2955,1,0.7752,0.4744,0.6125,1,0.3954,0.6607,0.667,0.9508
United States-2019,United States,2019,FALSE,328.329,0.752,1,1,0.5324,0.9168,0.248,0.3118,1,0.752,0.3112,0.4143,1,0.4995,0.6856,0.9168,0.9319
United States-2020,United States,2020,FALSE,331.527,0.7787,0.8061,0.8061,0.5011,0.5594,0.0273,0.636,0.8061,0.7787,0.1894,0.2434,0.8061,0.5875,0.6234,0.5594,0.5594
United States-2021,United States,2021,FALSE,332.05,0.6386,0.3491,0.6386,0.4494,0.1062,-0.2895,0.3937,0.3491,0.6386,0.0821,0.1287,0.3491,0.6386,0.3491,0.1062,0.4494
