modelo,DMU,cols,sfa,bcc
S,Greece-2014,0.242,1.7416,0.4778
S,Greece-2015,0.4697,2.4426,0.727
S,Greece-2016,0.3478,2.0716,0.588
S,Greece-2017,0.2498,1.7532,0.4041
S,Greece-2018,0.439,2.3556,0.7698
S,Greece-2019,0.3826,2.1827,0.6884
S,Greece-2020,0.438,2.3695,0.7764
S,Greece-2021,0.4963,2.5709,0.8132
S,Hungary-2013,0.1979,1.567,0.3001
S,Hungary-2014,0.146,1.4233,0.2403
S,Hungary-2015,0.0928,1.2873000000000001,0.1817
S,Hungary-2016,0.1561,1.4549,0.2503
S,Hungary-2017,0.1449,1.4173,0.2441
S,Hungary-2018,0.1356,1.398,0.2228
S,Hungary-2019,0.1998,1.5844,0.3435
S,Hungary-2020,0.2219,1.6528,0.3889
S,Hungary-2021,0.2201,1.6509,0.3779
S,India-2013,0.6239,2.9445,1
S,India-2014,0.4927,2.574,0.5907
S,India-2015,0.6493,3.0568,0.7149
S,India-2016,0.8208,3.5391,1
S,India-2017,0.6332,3.0262,0.7325
S,India-2018,0.7395,3.3506,0.8423
S,India-2019,1,4.0443,1
S,India-2020,0.9888,4.079,1
S,Indonesia-2013,0.3433,2.0598,0.542
S,Indonesia-2016,0.482,2.4976,0.8383
S,Ireland-2016,0.1031,1.3107,0.1606
S,Ireland-2018,0.1257,1.3698,0.1919
S,Israel-2013,0.0677,1.2193,0.094
S,Israel-2014,0.0777,1.243,0.1103
S,Israel-2015,0.0713,1.2288,0.084
S,Israel-2016,0.0744,1.2362,0.085
S,Israel-2017,0.0807,1.2514,0.0891
S,Israel-2018,0.0876,1.2694,0.0926
S,Israel-2019,0.1105,1.3283,0.1167
S,Israel-2020,0.1202,1.3554,0.1365
S,Israel-2021,0.1171,1.3484,0.1416
S,Italy-2013,0.3042,1.8959,0.7695
S,Italy-2014,0.3023,1.8931,0.729
S,Japan-2013,0.1843,1.5135,0.5915
S,Japan-2014,0.1644,1.4587,0.356
S,Japan-2015,0.1564,1.44,0.2821
S,Japan-2016,0.1413,1.4022,0.2671
S,Japan-2017,0.151,1.4279,0.2843
S,Japan-2018,0.1662,1.4719,0.3159
S,Japan-2019,0.1781,1.5086,0.3359
S,Japan-2020,0.1846,1.5289,0.3417
S,Japan-2021,0.2107,1.6056,0.4009
S,Luxembourg-2016,0.1146,1.3339,0.1793
S,Luxembourg-2017,0.1159,1.34,0.1832
S,Luxembourg-2018,0.1069,1.3199,0.1771
S,Luxembourg-2019,0.1243,1.366,0.1959
S,Luxembourg-2020,0.101,1.3118,0.26
S,Luxembourg-2021,0.1244,1.3757,0.3038
S,Malaysia-2014,0.6344,2.9393,1
S,Malaysia-2015,0.497,2.5441,0.9527
S,Malaysia-2016,0.4392,2.3461,0.8453
S,Malaysia-2018,0.4539,2.4279,0.7621
S,Malaysia-2020,0.5657,2.7892,0.9542
S,Mexico-2013,0.2274,1.6543,0.4384
S,Mexico-2014,0.2186,1.6289,0.4402
S,Mexico-2015,0.2061,1.5961,0.412
S,Mexico-2016,0.2235,1.652,0.4335
S,Mexico-2017,0.2214,1.6511,0.3969
S,Mexico-2018,0.3149,1.9485,0.6062
S,Mexico-2019,0.2834,1.8646,0.43
S,Mexico-2020,0.3741,2.1608,0.646
S,Mexico-2021,0.3548,2.1093,0.5483
S,Netherlands-2013,0.1905,1.5411,0.4802
S,Netherlands-2014,0.1754,1.4999,0.3979
S,Netherlands-2015,0.1399,1.4054,0.1779
S,Netherlands-2016,0.1398,1.4073,0.1521
S,Netherlands-2017,0.1413,1.4109,0.1625
S,Norway-2013,0.0943,1.2797,0.2021
S,Norway-2014,0.0791,1.2462,0.1364
S,Norway-2016,0.0934,1.2788,0.202
S,Norway-2017,0.0873,1.2667,0.1351
S,Norway-2018,0.1205,1.3515,0.2022
S,Norway-2019,0.1222,1.359,0.1641
S,Peru-2018,0.259,1.777,1
S,Peru-2019,0.2661,1.8046,0.5153
S,Peru-2020,0.3421,2.0671,0.7311
S,Peru-2021,0.4984,2.5822,1
S,Philippines-2018,0.1929,1.5621,0.2975
S,Poland-2013,0.3744,2.137,0.6928
S,Poland-2014,0.344,2.0461,0.6646
S,Poland-2015,0.3522,2.0849,0.6038
S,Poland-2016,0.3998,2.236,0.7409
S,Poland-2017,0.3526,2.0855,0.5985
S,Poland-2018,0.3433,2.0456,0.629
S,Poland-2019,0.2782,1.8364,0.4397
S,Poland-2020,0.2758,1.8305,0.405
S,Poland-2021,0.3197,1.9735,0.5005
S,Portugal-2014,0.3411,2.0442,0.6108
S,Portugal-2015,0.3838,2.1945,0.6602
S,Portugal-2016,0.3411,2.0469,0.6002
S,Portugal-2017,0.2655,1.8102,0.4434
S,Portugal-2018,0.2872,1.8811,0.4603
S,Romania-2016,0.6129,2.9226,0.9439
S,Romania-2017,0.6222,2.9329,0.8821
S,Romania-2018,0.7179,3.2167,1
S,Romania-2019,0.6398,3.0182,0.9174
S,Romania-2020,0.7124,3.2375,1
S,Romania-2021,0.5734,2.8368,0.9846
S,Singapore-2013,0.2382,1.7022,0.43
S,Singapore-2014,0.2281,1.6755,0.3477
S,Singapore-2015,0.2016,1.5967,0.2695
S,Singapore-2016,0.2381,1.7101,0.3403
S,Singapore-2017,0.2479,1.7452,0.3302
S,Singapore-2018,0.2555,1.7784,0.3794
S,Singapore-2019,0.2727,1.8397,0.4086
S,Slovenia-2018,0.2145,1.6223,0.3129
S,South Africa-2014,0.1326,1.3773,0.2094
S,South Africa-2016,0.0919,1.2805,0.15
S,South Africa-2017,0.0933,1.2844,0.1496
S,South Africa-2018,0.1197,1.3543,0.1933
S,South Africa-2019,0.1388,1.4112,0.2462
S,South Africa-2020,0.2244,1.6729,0.3764
S,Spain-2013,0.3083,1.9258,0.5266
S,Spain-2014,0.3117,1.9388,0.5071
S,Spain-2015,0.3694,2.1254,0.6993
S,Spain-2016,0.2911,1.875,0.4251
S,Spain-2017,0.3216,1.9756,0.4768
S,Spain-2018,0.3348,2.018,0.5159
S,Spain-2019,0.3552,2.0919,0.4461
S,Spain-2020,0.3936,2.2199,0.4951
S,Spain-2021,0.3895,2.2108,0.4484
S,Switzerland-2015,0.0904,1.2753,0.0983
S,Ukraine-2013,0.1307,1.377,0.202
S,Ukraine-2014,0.144,1.4147,0.2453
S,Ukraine-2015,0.2336,1.6871,0.4262
S,Ukraine-2016,0.3629,2.1164,0.726
S,Ukraine-2017,0.4891,2.5336,1
S,Ukraine-2018,0.5817,2.8403,1
S,United Kingdom-2013,0.2558,1.7494,0.4583
S,United Kingdom-2014,0.1942,1.5602,0.3175
