DMU,bcc_ST,peers
Israel-2015,0.08707245872331035,China-2020; India-2016; India-2019; Romania-2020
Israel-2016,0.08496331226708247,India-2016; India-2019; Romania-2020
Israel-2017,0.09277040828917965,China-2020; India-2016; India-2019; Romania-2020
Israel-2018,0.09653355058857409,China-2021; India-2019; India-2020; Romania-2020
Israel-2019,0.1166550752020727,China-2021; India-2019; India-2020
Israel-2020,0.13649660605336533,China-2021; India-2019; India-2020
Israel-2021,0.1416411607490181,China-2021; India-2019; India-2020
Italy-2013,0.7695297044737193,China-2013; India-2013; Malaysia-2014
Italy-2014,0.7290236832874994,China-2013; India-2013; Malaysia-2014
Japan-2013,0.5914621571457991,Australia-2013; China-2013
Japan-2014,0.43182416965413206,Australia-2013; China-2013
Japan-2015,0.30891720340843787,China-2013; China-2020; India-2013; Malaysia-2014
Japan-2016,0.27076808226618887,China-2013; China-2020; India-2016; India-2019
Japan-2017,0.4391111972255308,China-2013; China-2020; Mexico-2018
Japan-2018,0.4996148881635425,China-2013; China-2020; Mexico-2018
Japan-2019,0.3706662439786631,China-2013; China-2020; India-2013; India-2016
Japan-2020,0.3465483679123996,China-2013; China-2020; India-2016; India-2019
Japan-2021,0.4066569064829033,China-2013; China-2020; India-2016; India-2019
Luxembourg-2016,0.21996651837160905,Romania-2018; Ukraine-2014; Ukraine-2017
Luxembourg-2017,0.2311040163290954,China-2020; Romania-2018; Ukraine-2014; Ukraine-2018
Luxembourg-2018,0.22362159210873697,China-2020; China-2021; Romania-2020; Ukraine-2018
Luxembourg-2019,0.26732018326865714,China-2020; Romania-2018; Romania-2020; Ukraine-2018
Luxembourg-2020,0.3221129076039095,China-2021; Peru-2021; Romania-2020
Luxembourg-2021,0.4906957111911745,China-2021; Peru-2021; Romania-2020
Malaysia-2014,1,Malaysia-2014
Malaysia-2015,0.9665506722678513,China-2020; India-2013; Malaysia-2014; Romania-2020
Malaysia-2016,0.8452753111626605,China-2013; India-2013; Malaysia-2014
Malaysia-2018,0.7620891532396589,India-2013; India-2016; Romania-2020
Malaysia-2020,0.9541694303995765,India-2013; India-2016; Romania-2020
Mexico-2013,0.8730186415871777,Australia-2013; China-2013; Malaysia-2014; Ukraine-2014
Mexico-2014,0.5160135489680097,China-2013; Malaysia-2014; Mexico-2018; Ukraine-2014
Mexico-2015,0.5350847212928562,China-2013; China-2020; Malaysia-2014; Mexico-2018
Mexico-2016,0.6151845605993762,China-2013; China-2020; Malaysia-2014; Mexico-2018
Mexico-2017,0.49367541578618324,China-2020; India-2013; Malaysia-2014; Romania-2020
Mexico-2018,1,Mexico-2018
Mexico-2019,0.5104771264891349,China-2020; China-2021; India-2019; Romania-2020
Mexico-2020,0.7495339387370936,China-2020; India-2013; India-2016; Romania-2020
Mexico-2021,0.5507822278177481,China-2021; India-2019; India-2020; Romania-2020
Netherlands-2013,0.4802332892053624,China-2013; India-2013; Malaysia-2014
Netherlands-2014,0.39794011055424805,China-2013; India-2013; Malaysia-2014
Netherlands-2015,0.17794727225986245,China-2013; India-2013; India-2016
Netherlands-2016,0.1520929497591968,China-2013; India-2016; India-2019
Netherlands-2017,0.1624866816663764,China-2013; India-2016; India-2019
Norway-2013,0.20208808795317823,China-2013; India-2013; Malaysia-2014
Norway-2014,0.13641107306442046,India-2013; India-2016; Romania-2020
Norway-2016,0.2020391011597901,China-2013; India-2013; Malaysia-2014
Norway-2017,0.13510959244415705,India-2013; India-2016; Romania-2020
Norway-2018,0.2022326094335154,India-2013; India-2016; Romania-2020
Norway-2019,0.16410810198641665,India-2016; India-2019; Romania-2020
Peru-2018,1,Peru-2018
Peru-2019,0.6246814371316088,China-2020; Peru-2018; Peru-2021; Ukraine-2018
Peru-2020,1,Peru-2020
Peru-2021,1,Peru-2021
Philippines-2018,0.29750627074362357,Malaysia-2014; Romania-2018; Romania-2020
Poland-2013,0.6928239060119059,India-2013; Malaysia-2014; Romania-2020
Poland-2014,0.6646412454448433,India-2013; Malaysia-2014; Romania-2020
Poland-2015,0.6037749196949522,India-2013; India-2016; Romania-2020
Poland-2016,0.7409029284965679,India-2013; Malaysia-2014; Romania-2020
Poland-2017,0.5985185340455238,India-2013; India-2016; Romania-2020
Poland-2018,0.6316138126440135,China-2020; India-2013; Malaysia-2014; Romania-2020
Poland-2019,0.4396593717231293,India-2013; India-2016; Romania-2020
Poland-2020,0.4049551892555164,India-2013; India-2016; Romania-2020
Poland-2021,0.5005152075762791,India-2013; India-2016; Romania-2020
Portugal-2014,0.6108083385246234,India-2013; Malaysia-2014; Romania-2020
Portugal-2015,0.6601540439864113,India-2013; India-2016; Romania-2020
Portugal-2016,0.6009128543606489,China-2020; India-2013; India-2016; Romania-2020
Portugal-2017,0.44539391516854726,China-2021; India-2019; India-2020; Romania-2020
Portugal-2018,0.46689674082129823,China-2021; India-2019; India-2020; Romania-2020
Romania-2016,0.9439160996569191,Romania-2018; Romania-2020; Ukraine-2018
Romania-2017,0.9009959464322838,Romania-2018; Ukraine-2014; Ukraine-2017
Romania-2018,1,Romania-2018
Romania-2019,0.9174051677003396,India-2013; Malaysia-2014; Romania-2020
Romania-2020,1,Romania-2020
Romania-2021,0.9911670798330672,China-2021; India-2019; India-2020; Romania-2020
Singapore-2013,0.45360796405205633,China-2020; India-2013; Malaysia-2014; Romania-2020
Singapore-2014,0.35812610614536927,China-2020; India-2013; India-2016; Romania-2020
Singapore-2015,0.28354294208064884,China-2021; India-2019; India-2020; Romania-2020
Singapore-2016,0.3584427099270681,China-2020; India-2016; India-2019; Romania-2020
Singapore-2017,0.3823318442353926,China-2020; China-2021; India-2019; Romania-2020
Singapore-2018,0.4729161673905432,China-2021; India-2019; India-2020; Romania-2020
Singapore-2019,0.47267860292278124,China-2021; India-2019; India-2020; Romania-2020
