DMU,folga_rel_inv,folga_rel_rd,folga_pubs,folga_pat
Japan-2021,0,0,0,0
Luxembourg-2016,0,0,0,0
Luxembourg-2017,0,0,0,0
Luxembourg-2018,0,0,0,0
Luxembourg-2019,0,0,0,0
Luxembourg-2020,0.9713,0,0,0
Luxembourg-2021,0.9252,0,0,0
Malaysia-2014,0,0,0,0
Malaysia-2015,0,0,0,0
Malaysia-2016,0,0,0,5.4187
Malaysia-2018,0,0,0,19.5015
Malaysia-2020,0,0,0,26.2961
Mexico-2013,0,0,0,0
Mexico-2014,0,0,0,0
Mexico-2015,0,0,0,0
Mexico-2016,0,0,0,0
Mexico-2017,0,0,0,0
Mexico-2018,0,0,0,0
Mexico-2019,0,0,0,0
Mexico-2020,0,0,0,0
Mexico-2021,0,0,0,0
Netherlands-2013,0,0,0,132.4465
Netherlands-2014,0,0,0,124.0849
Netherlands-2015,0,0,0,140.0218
Netherlands-2016,0,0,0,32.505
Netherlands-2017,0,0,0,73.1833
Norway-2013,0,0,0,29.371
Norway-2014,0,0,0,22.1123
Norway-2016,0,0,0,30.8699
Norway-2017,0,0,0,49.1023
Norway-2018,0,0,0,15.0185
Norway-2019,0,0,0,32.0577
Peru-2018,0,0,0,0
Peru-2019,0,0,0,0
Peru-2020,0,0,0,0
Peru-2021,0,0,0,0
Philippines-2018,0,0,0,1.1681
Poland-2013,0,0,0,2.8578
Poland-2014,0,0,0,3.7793
Poland-2015,0,0,0,2.7729
Poland-2016,0,0,0,2.519
Poland-2017,0,0,0,21.0447
Poland-2018,0,0,0,0
Poland-2019,0,0,0,28.2328
Poland-2020,0,0,0,54.4185
Poland-2021,0,0,0,50.3774
Portugal-2014,0,0,0,11.8033
Portugal-2015,0,0,0,11.5602
Portugal-2016,0,0,0,0
Portugal-2017,0,0,0,0
Portugal-2018,0,0,0,0
Romania-2016,0,0,0,3.2913
Romania-2017,0,0,0,0
Romania-2018,0,0,0,0
Romania-2019,0,0,0,2.5781
Romania-2020,0,0,0,0
Romania-2021,0,0,0,0
Singapore-2013,0,0,0,0
Singapore-2014,0,0,0,0
Singapore-2015,0,0,0,0
Singapore-2016,0,0,0,0
Singapore-2017,0,0,0,0
Singapore-2018,0,0,0,0
Singapore-2019,0,0,0,0
Slovenia-2018,0,0,0,0
South Africa-2014,0,0,0,0
South Africa-2016,0,0,0,0
South Africa-2017,0,0,0,0
South Africa-2018,0,0,0,0
South Africa-2019,0,0,0,4.9271
South Africa-2020,0,0,0,0
Spain-2013,0,0,0,34.0925
Spain-2014,0,0,0,12.7835
Spain-2015,0,0,0,37.0928
Spain-2016,0,0,0,0
Spain-2017,0,0,0,4.2597
Spain-2018,0,0,0,21.3153
Spain-2019,0,0,0,64.4239
Spain-2020,0,0,0,83.1936
Spain-2021,0,0,0,43.1319
Switzerland-2015,0,0,0,136.9962
Ukraine-2013,0,0,0,0
Ukraine-2014,0,0,0,0
Ukraine-2015,0,0,0,0
Ukraine-2016,0,0,0,0
Ukraine-2017,0,0,0,0
Ukraine-2018,0,0,0,0
United Kingdom-2013,0,0,0,262.4548
United Kingdom-2014,0,0,0,1488.2908
United Kingdom-2021,0,0,0,15789.6398
United States-2013,0,0.2986,0,42091.1727
United States-2014,0,0.2447,0,63064.6459
United States-2015,0,0.2533,0,67319.8299
United States-2016,0.0628,0.2746,0,62662.7345
United States-2017,0.1341,0.3044,0,54175.1263
United States-2018,0.5513,0.3481,0,51890.5974
United States-2019,0.7814,0.3967,0,57612.5085
United States-2020,0.6989,0.4362,0,63536.7654
United States-2021,0.845,0.4668,0,73735.3291
